kepid,pl_name,lit_duration,lit_depth_ppm,cat_duration,cat_depth_ppm,est_duration,est_duration_err,est_depth_ppm,est_depth_err
4136466,Kepler-826 b,2.8308,112.0,2.824,113.8,2.956375,0.10987036,107.913185,1.107358
4157325,Kepler-416 b,3.2023,598.3000000000001,3.251,590.7,3.167185,0.08820245,551.7308,17.874992
4157325,Kepler-416 c,3.9286,559.1,4.267,543.4,4.0836525,0.12157339,515.4748,13.747271
4157325,Kepler-416 d,2.6326,216.7,2.606,209.0,2.5469577,0.06609745,211.35423,5.5199537
4165473,Kepler-597 b,3.9714,622.4,4.36,625.5,4.1079373,0.20618366,573.47815,9.406903
4271474,Kepler-1469 b,3.582,976.1999999999999,3.529,869.8,3.4049337,0.08586725,773.911,21.222198
4455231,Kepler-288 c,4.192,709.1,4.235,761.8,4.1853714,0.12201491,652.80457,15.428639
4455231,Kepler-288 d,6.039,589.7,6.316,614.1,6.0988874,0.2203407,598.373,24.946949
4455231,Kepler-288 b,3.306,217.60000000000002,3.235,223.1,3.361367,0.11961573,209.26001,4.698531
4556468,Kepler-1609 b,13.001,239.8,13.58,231.6,12.296266,0.65949017,194.89662,14.674076
4636578,Kepler-350 c,5.8919,391.20000000000005,5.628,400.2,5.548856,0.13523518,387.98428,9.1196
4636578,Kepler-350 d,6.613,362.20000000000005,6.576,372.9,6.3242626,0.22417404,358.28302,6.2697616
4636578,Kepler-350 b,5.12,143.3,5.194,125.1,5.3644276,0.053832963,109.83373,3.2004569
4645174,Kepler-1500 b,5.416,132.20000000000002,5.447,132.8,5.536365,0.14642772,90.6398,1.8975627
4832837,Kepler-621 b,1.8548,936.8,1.748,873.0,1.6606,0.09917485,943.00836,30.786917
4913852,Kepler-691 b,2.258,1558.0,2.231,1608.0,2.171739,0.053834885,1467.9844,27.72603
4939346,Kepler-328 c,8.781,2138.0,8.805,2256.0,8.4748125,0.2963524,2151.223,33.817
4939346,Kepler-328 b,9.874,500.0,8.376,504.3,8.290932,0.30804318,439.46048,30.278044
4947556,Kepler-1930 b,0.785,356.59999999999997,0.7628,340.7,0.6841363,0.013537097,326.02954,30.656836
4989057,Kepler-1017 b,2.1648,492.4,2.168,472.4,2.0003188,0.11379681,446.8221,7.82762
5009743,Kepler-906 b,5.6754,440.8,5.639,440.3,5.6169724,0.09028524,458.47278,9.796948
5094751,Kepler-109 b,3.649,301.5,3.873,292.9,3.6884272,0.08308511,289.13138,9.248207
5094751,Kepler-109 c,6.4913,359.90000000000003,6.693,371.3,6.4524703,0.2087637,350.83884,11.553416
5164255,Kepler-693 b,3.2673,15337.0,3.252,15590.0,2.634628,0.15529019,14983.402,487.11386
5177859,Kepler-1576 b,2.723,90.7,2.551,85.3,2.4752672,0.08422504,91.13864,3.347137
5184911,Kepler-1324 b,1.385,459.7,1.446,401.2,1.4267954,0.06079356,388.66498,7.967642
5281113,Kepler-1602 b,3.043,87.89999999999999,3.218,90.5,3.1174374,0.103961885,86.76068,2.2716894
5289854,Kepler-308 b,2.609,515.2,2.692,621.7,2.593153,0.07423763,513.0171,13.010597
5289854,Kepler-308 c,3.951,550.5,3.772,615.0,3.8662999,0.13523556,545.16907,26.873125
